agent_name	source_repo	file_path	file_size	line_count
silent-failure-hunter	everything-claude-code	sources/everything-claude-code/agents/silent-failure-hunter.md	1048	50
tdd-guide	everything-claude-code	sources/everything-claude-code/agents/tdd-guide.md	2975	91
type-design-analyzer	everything-claude-code	sources/everything-claude-code/agents/type-design-analyzer.md	937	41
typescript-reviewer	everything-claude-code	sources/everything-claude-code/agents/typescript-reviewer.md	7825	112
business-analyst	rohitg00-toolkit	sources/rohitg00-toolkit/agents/business-product/business-analyst.md	4247	40
content-strategist	rohitg00-toolkit	sources/rohitg00-toolkit/agents/business-product/content-strategist.md	5590	40
customer-success	rohitg00-toolkit	sources/rohitg00-toolkit/agents/business-product/customer-success.md	6084	40
growth-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/business-product/growth-engineer.md	6063	40
legal-advisor	rohitg00-toolkit	sources/rohitg00-toolkit/agents/business-product/legal-advisor.md	6295	40
marketing-analyst	rohitg00-toolkit	sources/rohitg00-toolkit/agents/business-product/marketing-analyst.md	6087	40
product-manager	rohitg00-toolkit	sources/rohitg00-toolkit/agents/business-product/product-manager.md	3964	40
project-manager	rohitg00-toolkit	sources/rohitg00-toolkit/agents/business-product/project-manager.md	4093	40
sales-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/business-product/sales-engineer.md	6376	40
scrum-master	rohitg00-toolkit	sources/rohitg00-toolkit/agents/business-product/scrum-master.md	4201	40
technical-writer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/business-product/technical-writer.md	3728	40
ux-researcher	rohitg00-toolkit	sources/rohitg00-toolkit/agents/business-product/ux-researcher.md	4297	40
api-designer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/api-designer.md	3896	85
api-gateway-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/api-gateway-engineer.md	4405	64
backend-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/backend-developer.md	3886	72
electron-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/electron-developer.md	4344	64
event-driven-architect	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/event-driven-architect.md	4859	64
frontend-architect	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/frontend-architect.md	4366	79
fullstack-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/fullstack-engineer.md	3257	68
graphql-architect	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/graphql-architect.md	4165	79
microservices-architect	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/microservices-architect.md	4474	74
mobile-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/mobile-developer.md	4566	82
monorepo-architect	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/monorepo-architect.md	4616	64
ui-designer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/ui-designer.md	3441	55
websocket-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/core-development/websocket-engineer.md	4830	76
ai-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/ai-engineer.md	4561	70
autoresearch-agent	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/autoresearch-agent.md	4182	66
computer-vision-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/computer-vision-engineer.md	4817	40
data-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/data-engineer.md	4976	96
data-scientist	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/data-scientist.md	4838	88
